year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty
2021,BROOKLYN,11220,2079,93584,2221.533595,57046,22.21413759
2021,BROOKLYN,11221,1881,89728,2096.335592,66923,21.18696641
2021,BROOKLYN,11222,488,39669,1230.179737,110385,9.755312299
2021,BROOKLYN,11223,938,83565,1122.479507,57281,20.90307088
2021,BROOKLYN,11224,415,48110,862.6065267,37241,32.1209283
2021,BROOKLYN,11225,3766,59465,6333.137139,68542,14.94575155
2021,BROOKLYN,11226,7193,99776,7209.148493,66173,14.77860375
2021,BROOKLYN,11228,237,45267,523.5602094,77189,10.77817242
2021,BROOKLYN,11229,994,85538,1162.05663,69076,16.58563287
2021,BROOKLYN,11230,2288,91789,2492.673414,61017,20.32522892
2021,BROOKLYN,11231,364,40311,902.9793357,121638,17.21830565
2021,BROOKLYN,11232,549,28501,1926.248202,77031,14.41294667
2021,BROOKLYN,11233,1956,85633,2284.166151,52380,24.67726382
2021,BROOKLYN,11234,577,94254,612.1756106,86185,8.975340787
2021,BROOKLYN,11235,1532,84859,1805.347694,58669,19.27575478
2021,BROOKLYN,11236,774,102238,757.0570629,73562,13.13448767
2021,BROOKLYN,11237,1180,50590,2332.476774,65908,18.7210962
2021,BROOKLYN,11238,1339,58597,2285.09992,114427,11.17305548
2021,BROOKLYN,11239,359,15917,2255.450148,33736,29.54748247
2021,BROOKLYN,11249,273,42421,643.5491855,105222,19.44216052
2021,QUEENS,11354,617,53375,1155.971897,52273,18.67647059
2021,QUEENS,11355,1223,80918,1511.406609,46963,21.55936612
2021,QUEENS,11356,156,27295,571.5332478,73318,8.736426456
2021,QUEENS,11357,57,44030,129.4571883,88580,8.876811594
2021,QUEENS,11358,412,38103,1081.279689,74854,9.696739955
2021,QUEENS,11360,24,20076,119.5457262,92851,7.28859669
2021,QUEENS,11361,299,30006,996.4673732,93734,7.913669065
2021,QUEENS,11362,10,19217,52.03725868,100528,3.970325594
2021,QUEENS,11363,47,7424,633.0818966,98111,8.837689133
2021,QUEENS,11364,266,39015,681.7890555,90970,8.646807277
2021,QUEENS,11365,142,45439,312.5068774,73279,11.38120863
2021,QUEENS,11366,69,13922,495.6184456,100781,8.984628708
2021,QUEENS,11367,402,42362,948.9636939,71469,15.29379462
2021,QUEENS,11368,1825,116469,1566.940559,62254,16.92724196
2021,QUEENS,11369,346,31550,1096.671949,66132,12.79447178
2021,QUEENS,11370,97,29780,325.721961,67241,8.10430781
2021,QUEENS,11372,1366,67252,2031.166359,62910,13.05436338
2021,QUEENS,11373,1158,102104,1134.137742,62072,10.91672498
2021,QUEENS,11374,588,47019,1250.558285,79221,12.07242452
2021,QUEENS,11375,1470,76091,1931.897333,96321,7.102933623
2021,QUEENS,11377,1302,85255,1527.183156,66325,9.620901323
2021,QUEENS,11378,156,39994,390.0585088,85464,9.126891735
2021,QUEENS,11379,174,39805,437.1310137,88672,7.827464535
2021,QUEENS,11385,1475,109111,1351.834371,77350,11.42780027
2021,QUEENS,11411,76,21605,351.7704235,108131,7.159317868
2021,QUEENS,11412,374,41782,895.1223015,93429,9.469565217
2021,QUEENS,11413,239,45661,523.4226145,104236,6.169606408
2021,QUEENS,11414,80,30915,258.7740579,86113,10.05557485
2021,QUEENS,11415,327,20351,1606.800649,80360,9.758951556
2021,QUEENS,11416,261,27098,963.1707137,76477,13.72761801
2021,QUEENS,11417,172,33236,517.5111325,78498,13.48026105
2021,QUEENS,11418,430,38938,1104.319688,77708,9.440950986
2021,QUEENS,11419,562,50107,1121.599776,84245,9.318606098
2021,QUEENS,11420,318,51831,613.532442,89027,9.435632608
2021,QUEENS,11421,285,42704,667.3847883,76721,10.14045906
2021,QUEENS,11422,179,34063,525.4968734,95945,8.164066333
2021,QUEENS,11423,502,30983,1620.243359,69386,14.12011592
2021,QUEENS,11426,36,20959,171.76392,102818,5.866368286
2021,QUEENS,11427,251,25890,969.4862881,84000,8.557089084
2021,QUEENS,11428,94,21184,443.7311178,83417,8.732931089
2021,QUEENS,11429,122,28643,425.9330377,89318,12.15199398
2021,QUEENS,11432,1325,64858,2042.924543,66246,11.79800839
2021,QUEENS,11433,456,41396,1101.555706,68801,15.73646276
2021,QUEENS,11434,539,66424,811.4536914,66546,12.75152713
2021,QUEENS,11435,671,60842,1102.856579,71346,14.86238532
2021,QUEENS,11436,158,21248,743.5993976,78306,10.44087491
2021,QUEENS,11691,1159,70797,1637.075017,54877,24.7728537
2021,QUEENS,11692,319,24639,1294.695402,53498,18.40696951
2021,QUEENS,11693,117,14147,827.0304658,64688,14.83735971
2021,QUEENS,11694,403,22432,1796.540656,88643,12.63107722
2022,MANHATTAN,10001,396,26966,1468.515909,101409,11.97365655
2022,MANHATTAN,10002,1905,76807,2480.242686,37093,28.28684112
2022,MANHATTAN,10003,1298,54447,2383.969732,137533,8.752630952
2022,MANHATTAN,10004,15,4795,312.8258603,216017,2.69758637
2022,MANHATTAN,10005,17,8637,196.8276022,197188,2.446675031
2022,MANHATTAN,10006,38,3894,975.8602979,200536,3.314917127
2022,MANHATTAN,10007,34,8194,414.9377593,250001,4.4978435
2022,MANHATTAN,10009,1655,60000,2758.333333,77551,23.18155541
2022,MANHATTAN,10010,448,33193,1349.682162,131635,10.08823348
2022,MANHATTAN,10011,625,51867,1205.005109,139343,9.308055575
2022,MANHATTAN,10012,542,22269,2433.87669,117581,11.28385155
2022,MANHATTAN,10013,437,29563,1478.1991,137572,10.54807848
2022,MANHATTAN,10014,637,29815,2136.508469,136559,7.226463104
2022,MANHATTAN,10016,803,56758,1414.778533,136431,7.889755936
2022,MANHATTAN,10017,302,15514,1946.628851,136112,7.148136416
2022,MANHATTAN,10018,308,8063,3819.918145,130457,8.577728776
2022,MANHATTAN,10019,1450,43989,3296.278615,105538,12.43419308
2022,MANHATTAN,10021,566,42484,1332.266265,136060,5.804241742
2022,MANHATTAN,10022,315,33303,945.8607333,156255,7.25921067
2022,MANHATTAN,10023,680,65891,1032.007406,136109,9.069898534
2022,MANHATTAN,10024,1579,63916,2470.429939,153177,8.308736217
2022,MANHATTAN,10025,3083,96918,3181.039642,103440,14.0760056
2022,MANHATTAN,10026,2754,39401,6989.670313,65038,18.11893042
2022,MANHATTAN,10027,3268,65840,4963.547995,58435,21.6092732
2022,MANHATTAN,10028,657,47793,1374.6783,149789,4.905203711
2022,MANHATTAN,10029,2377,77661,3060.738337,33901,33.05777616
2022,MANHATTAN,10030,2503,31611,7918.129765,42834,27.465487
2022,MANHATTAN,10031,5144,61801,8323.489911,57180,23.5551623
2022,MANHATTAN,10032,5318,60529,8785.871235,55059,20.27870122
2022,MANHATTAN,10033,4286,60739,7056.421739,71630,16.15618308
2022,MANHATTAN,10034,3655,43365,8428.456128,63851,17.4586056
2022,MANHATTAN,10035,1704,37042,4600.183575,32555,35.67247387
2022,MANHATTAN,10036,926,30437,3042.349772,98177,12.82395957
2022,MANHATTAN,10037,1361,19374,7024.878703,48782,24.19875025
2022,MANHATTAN,10038,233,23356,997.6023292,99924,19.12521441
2022,MANHATTAN,10039,2025,27234,7435.558493,50164,21.44588745
2022,MANHATTAN,10040,3305,45771,7220.729283,54700,19.93091746
2022,MANHATTAN,10044,49,12155,403.1262855,115294,6.064306064
2022,MANHATTAN,10065,474,31270,1515.829869,152335,6.448609732
2022,MANHATTAN,10069,24,5774,415.6563907,183178,16.86156167
2022,MANHATTAN,10075,362,23391,1547.603779,131372,12.82407786
2022,MANHATTAN,10128,786,58147,1351.746436,127919,9.008210964
2022,MANHATTAN,10162,0,2268,0,99300,0
2022,MANHATTAN,10280,3,8582,34.95688651,178148,2.875475285
2022,MANHATTAN,10282,20,6419,311.5750117,250001,2.208446339
2022,STATEN ISLAND,10301,848,38736,2189.178026,78053,14.44646352
2022,STATEN ISLAND,10302,200,18144,1102.292769,73927,19.11738431
2022,STATEN ISLAND,10303,227,27469,826.386108,69879,19.36330035
2022,STATEN ISLAND,10304,628,43849,1432.187735,64539,19.57783641
2022,STATEN ISLAND,10305,257,44531,577.126047,76833,9.606111842
2022,STATEN ISLAND,10306,337,55805,603.8885405,88687,8.733602422
2022,STATEN ISLAND,10307,33,14828,222.5519288,117469,6.179556937
